USER_ID,YOB,Gender,Income,HouseholdStatus,EducationLevel,Q124742,Q124122,Q123464,Q123621,Q122769,Q122770,Q122771,Q122120,Q121699,Q121700,Q120978,Q121011,Q120379,Q120650,Q120472,Q120194,Q120012,Q120014,Q119334,Q119851,Q119650,Q118892,Q118117,Q118232,Q118233,Q118237,Q117186,Q117193,Q116797,Q116881,Q116953,Q116601,Q116441,Q116448,Q116197,Q115602,Q115777,Q115610,Q115611,Q115899,Q115390,Q114961,Q114748,Q115195,Q114517,Q114386,Q113992,Q114152,Q113583,Q113584,Q113181,Q112478,Q112512,Q112270,Q111848,Q111580,Q111220,Q110740,Q109367,Q108950,Q109244,Q108855,Q108617,Q108856,Q108754,Q108342,Q108343,Q107869,Q107491,Q106993,Q106997,Q106272,Q106388,Q106389,Q106042,Q105840,Q105655,Q104996,Q103293,Q102906,Q102674,Q102687,Q102289,Q102089,Q101162,Q101163,Q101596,Q100689,Q100680,Q100562,Q99982,Q100010,Q99716,Q99581,Q99480,Q98869,Q98578,Q98059,Q98078,Q98197,Q96024,Party
1295,1971,Female,"$100,001 - $150,000",Married (w/kids),Bachelor's Degree,,Yes,No,No,No,No,Private,No,Yes,No,Yes,No,No,Yes,Art,Try first,No,No,No,Yes,Receiving,No,No,Pragmatist,No,No,Cool headed,Standard hours,No,Happy,Yes,Yes,Yes,Yes,P.M.,Yes,Start,No,No,Circumstances,Yes,Yes,Yes,Yes,Yes,TMI,No,No,Tunes,People,No,No,Yes,Yes,No,,,PC,No,Cautious,No,Yes!,No,Socialize,Yes,In-person,Yes,Yes,Yes,Yes,Yay people!,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Own,Pessimist,Mom,No,Yes,No,Yes,Check!,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Democrat
3324,1981,Female,"$25,001 - $50,000",Married (w/kids),Associate's Degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Happy,,Yes,Yes,,P.M.,Yes,End,No,No,,No,Yes,Yes,Yes,No,,No,,,,Yes,Yes,Yes,No,No,,,,Yes,Cautious,No,Yes!,No,Space,Yes,,,No,Yes,No,Grrr people,Yes,No,Yes,No,Yes,No,No,No,,No,No,No,Rent,Pessimist,Dad,No,Yes,Yes,Yes,Nope,Yes,No,No,Yes,,No,Yes,,Yes,No,Republican
6939,1999,Female,,Single (no kids),Current K-12,,,,,,,,,,,Yes,Yes,,Yes,,,No,,,Yes,Giving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat
1525,1997,Male,"$75,000 - $100,000",Single (no kids),Current K-12,,,,,,,,,,,No,No,No,No,Science,Try first,Yes,Yes,No,No,Giving,Yes,No,Pragmatist,No,No,Hot headed,Standard hours,No,Right,No,Yes,No,Yes,P.M.,No,Start,Yes,No,Me,Yes,No,No,No,Yes,Mysterious,No,No,Tunes,Technology,No,Yes,Yes,Yes,No,Supportive,Yes,PC,Yes,Cautious,No,Umm...,No,Space,No,In-person,No,No,Yes,No,Grrr people,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Own,Pessimist,Mom,No,Yes,No,Yes,Nope,Yes,No,Yes,No,No,No,Only-child,No,No,Yes,Democrat
3341,1977,Male,"over $150,000",Married (w/kids),Doctoral Degree,No,No,No,Yes,No,Yes,Public,No,Yes,No,Yes,No,Yes,Yes,Art,Study first,No,Yes,No,Yes,Giving,Yes,Yes,Pragmatist,No,Yes,Cool headed,Odd hours,No,Happy,Yes,Yes,No,Yes,P.M.,Yes,End,Yes,No,Me,Yes,Yes,No,Yes,No,TMI,No,No,Tunes,People,Yes,Yes,Yes,No,Yes,Supportive,Yes,Mac,No,Cautious,No,Yes!,No,Space,No,In-person,No,Yes,Yes,Yes,Yay people!,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Own,Pessimist,Dad,No,Yes,Yes,Yes,Check!,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Democrat
4949,1994,Male,"under $25,000",Single (no kids),Current Undergraduate,Yes,No,No,No,No,Yes,Private,No,Yes,No,,,Yes,Yes,Science,Study first,No,No,Yes,No,Receiving,No,No,Pragmatist,No,No,Cool headed,Standard hours,,Happy,No,,,,,Yes,Start,Yes,No,Me,Yes,Yes,Yes,Yes,Yes,Mysterious,Yes,No,Tunes,People,No,No,Yes,No,No,Supportive,No,PC,,,,,No,,,In-person,No,No,Yes,Yes,Yay people!,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Rent,Optimist,Dad,Yes,No,Yes,Yes,,,,,,,,,,,,Republican
1467,1949,Female,"$25,001 - $50,000",Married (no kids),,,Yes,No,No,No,No,Public,Yes,Yes,No,No,No,No,,Science,Study first,Yes,No,No,Yes,Giving,Yes,No,Pragmatist,No,No,Hot headed,Standard hours,No,Happy,Yes,Yes,Yes,No,A.M.,Yes,Start,Yes,Yes,Me,No,Yes,Yes,Yes,No,TMI,Yes,Yes,Tunes,Technology,No,No,Yes,No,No,Supportive,No,PC,Yes,Cautious,No,,No,,No,Online,No,Yes,Yes,Yes,Yay people!,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Own,Pessimist,Dad,No,Yes,Yes,No,Nope,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Democrat
894,1989,Female,"$25,001 - $50,000",Single (no kids),,,,,,,,,,,,,,,,,,,,Yes,Yes,Receiving,Yes,Yes,Pragmatist,No,Yes,Hot headed,Standard hours,,Happy,Yes,,,,,,,,,,Yes,,,,,,No,,,,,,,,,,,,Yes,Cautious,No,Umm...,No,Space,No,Online,Yes,Yes,Yes,Yes,Grrr people,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Rent,Pessimist,Mom,No,Yes,Yes,Yes,Check!,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Democrat
857,1989,Female,"$50,000 - $74,999",Domestic Partners (no kids),Current Undergraduate,,,No,No,Yes,Yes,Public,Yes,Yes,No,No,No,No,Yes,Science,Study first,Yes,No,Yes,No,Giving,Yes,Yes,Idealist,No,No,Cool headed,Odd hours,No,Happy,Yes,Yes,No,Yes,P.M.,Yes,Start,Yes,No,Me,Yes,No,No,Yes,No,Mysterious,No,No,Tunes,People,Yes,No,No,Yes,Yes,Demanding,No,PC,No,Cautious,No,Umm...,No,Socialize,No,In-person,No,Yes,No,Yes,Yay people!,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Own,Optimist,Mom,No,Yes,Yes,Yes,Check!,Yes,No,No,Yes,,,Yes,Yes,Yes,No,Democrat
4496,1994,Male,"$100,001 - $150,000",Single (no kids),Current Undergraduate,Yes,No,No,No,No,Yes,Public,No,No,No,No,No,No,,Science,Study first,No,No,No,No,Giving,No,No,Pragmatist,No,Yes,Hot headed,Odd hours,Yes,Happy,Yes,Yes,No,Yes,P.M.,Yes,Start,No,No,Me,,Yes,Yes,No,,Mysterious,No,No,Tunes,People,No,Yes,Yes,No,Yes,Supportive,Yes,PC,No,Cautious,No,Yes!,No,Space,Yes,In-person,No,No,Yes,Yes,Grrr people,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Own,Pessimist,Dad,No,No,Yes,Yes,Check!,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Republican
